ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism	sample_id
MCR-5.4	3007281	protein homolog model	CARD	1	100.0	no data	no data	hospital metagenome	22.0	0.0	22.0	68.43	1125.0	180.86	0	0	0	0				1644	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	ERR1713337
vanX gene in vanP cluster	3007190	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecium	4.0	0.0	4.0	18.72	114.0	58.75	0	0	0	0				609	vanX; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration	ERR1713337
tet(X6)	3005056	protein homolog model	CARD	1	100.0	no data	no data	Proteus genomosp.	5.0	0.0	5.0	9.15	104.0	87.4	0	0	0	0				1137	tetracycline inactivation enzyme	tetracycline antibiotic	antibiotic inactivation	ERR1713337
AAC(6')-Ie-APH(2'')-Ia bifunctional protein	3002597	protein homolog model	CARD	1	100.0	no data	no data	Staphylococcus aureus	43.0	0.0	43.0	91.67	1320.0	121.6	0	0	0	0				1440	aminoglycoside bifunctional resistance protein	aminoglycoside antibiotic	antibiotic inactivation	ERR1713337
vanS gene in vanP cluster	3007192	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecium	7.0	0.0	7.0	26.48	286.0	56.86	0	0	0	0				1080	vanS; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration	ERR1713337
FosG	3007368	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	2.0	0.0	2.0	9.27	37.0	56.0	0	0	0	0				399	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation	ERR1713337
ANT(9)-Ib	3007401	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecalis	7.0	0.0	7.0	5.47	42.0	51.86	0	0	0	0				768	ANT(9)	aminoglycoside antibiotic	antibiotic inactivation	ERR1713337
leuO	3003843	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	39.0	0.0	39.0	100.0	945.0	179.67	0	0	0	0				945	major facilitator superfamily (MFS) antibiotic efflux pump	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux	ERR1713337
HelR	3007208	protein homolog model	CARD	1	100.0	no data	no data	Streptomyces venezuelae	34.0	0.0	34.0	49.15	1066.0	110.21	0	0	0	0				2169	helicase-like RNA polymerase protection protein	rifamycin antibiotic	antibiotic target protection	ERR1713337
AAC(6')-30/AAC(6')-Ib' bifunctional protein	3002599	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	4.0	0.0	4.0	40.63	401.0	176.75	0	0	0	0				987	aminoglycoside bifunctional resistance protein	aminoglycoside antibiotic	antibiotic inactivation	ERR1713337
ANT(3'')-II-AAC(6')-IId bifunctional protein	3002598	protein homolog model	CARD	1	100.0	no data	no data	Serratia marcescens	179.0	0.0	179.0	62.57	871.0	190.79	0	0	0	0				1392	aminoglycoside bifunctional resistance protein	aminoglycoside antibiotic	antibiotic inactivation	ERR1713337
Mrx	3003839	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas hydrophila	75.0	0.0	75.0	100.0	1239.0	191.91	0	0	0	0				1239	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation	ERR1713337
ThfT	3007427	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus pyogenes	4.0	0.0	4.0	7.35	41.0	97.75	0	0	0	0				558	ECF transporter S component	sulfonamide antibiotic	resistance by host-dependent nutrient acquisition	ERR1713337
APH(3')-IXa	3004087	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter gerneri	1.0	0.0	1.0	3.75	30.0	34.0	0	0	0	0				801	APH(3')	aminoglycoside antibiotic	antibiotic inactivation	ERR1713337
APH(9)-Ic	3007539	protein homolog model	CARD	1	100.0	no data	no data	Stenotrophomonas maltophilia	7.0	0.0	7.0	15.95	166.0	92.43	0	0	0	0				1041	APH(9)	aminoglycoside antibiotic	antibiotic inactivation	ERR1713337
Shigella flexneri acrA	3007509	protein homolog model	CARD	1	100.0	no data	no data	Shigella flexneri	11.0	0.0	11.0	61.31	732.0	185.18	0	0	0	0				1194	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	ERR1713337
WUS-1	3007435	protein homolog model	CARD	1	100.0	no data	no data	Myroides albus	2.0	0.0	2.0	4.59	34.0	39.5	0	0	0	0				741	WUS beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1713337
EstT	3007459	protein homolog model	CARD	1	100.0	no data	no data	Sphingobacterium faecium	8.0	0.0	8.0	13.79	127.0	42.62	0	0	0	0				921	macrolide esterase	macrolide antibiotic	antibiotic inactivation	ERR1713337
IMP-93	3007463	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	1.0	0.0	1.0	3.51	26.0	67.0	0	0	0	0				741	IMP beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713337
IND-17	3007470	protein homolog model	CARD	1	100.0	no data	no data	Chryseobacterium sp.	7.0	0.0	7.0	11.66	85.0	45.0	0	0	0	0				729	IND beta-lactamase	carbapenem	antibiotic inactivation	ERR1713337
RAD-1	3007483	protein homolog model	CARD	1	100.0	no data	no data	Riemerella anatipestifer	12.0	0.0	12.0	17.25	134.0	54.17	0	0	0	0				777	RAD beta-lactamase	carbapenem; cephalosporin	antibiotic inactivation	ERR1713337
mef(E)	3000614	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus pneumoniae	5.0	0.0	5.0	37.79	458.0	105.0	0	0	0	0				1212	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux	ERR1713337
CAE-1	3007635	protein homolog model	CARD	1	100.0	no data	no data	Comamonas aquatica	8.0	0.0	8.0	41.91	381.0	103.0	0	0	0	0				909	CAE beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713337
ANT(9)-Ic	3007515	protein homolog model	CARD	1	100.0	no data	no data	Brucella intermedia	1.0	0.0	1.0	3.97	31.0	95.0	0	0	0	0				780	ANT(9)	aminoglycoside antibiotic	antibiotic inactivation	ERR1713337
catA1	3002683	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	2.0	0.0	2.0	22.88	151.0	185.5	0	0	0	0				660	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation	ERR1713337
mef(C)	3003745	protein homolog model	CARD	1	100.0	no data	no data	Photobacterium damselae	622.0	0.0	622.0	100.0	1224.0	191.76	0	0	0	0				1224	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic; tetracycline antibiotic	antibiotic efflux	ERR1713337
Clostridium sporogenes cplR	3007645	protein homolog model	CARD	1	100.0	no data	no data	Clostridium sporogenes	26.0	0.0	26.0	34.66	575.0	81.12	0	0	0	0				1659	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	lincosamide antibiotic; antibiotic without defined classification; pleuromutilin antibiotic	antibiotic target protection	ERR1713337
Clostridium perfringes cplR	3007644	protein homolog model	CARD	1	100.0	no data	no data	Clostridium perfringens	20.0	0.0	20.0	15.82	270.0	61.95	0	0	0	0				1707	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic	antibiotic target protection	ERR1713337
Clostridioides difficile cplR	3007637	protein homolog model	CARD	1	100.0	no data	no data	Clostridioides difficile	16.0	0.0	16.0	12.4	205.0	68.75	0	0	0	0				1653	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; nucleoside antibiotic	antibiotic target protection	ERR1713337
putative nickel/cobalt transporter	3007659	protein homolog model	CARD	1	100.0	no data	no data	Mycobacterium tuberculosis	9.0	0.0	9.0	61.93	693.0	110.56	0	0	0	0				1119	metal transporters with antibiotic efflux	fluoroquinolone antibiotic; aminoglycoside antibiotic; isoniazid-like antibiotic	antibiotic efflux	ERR1713337
aadT	3007669	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	4.0	0.0	4.0	17.69	268.0	178.25	0	0	0	0				1515	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux	ERR1713337
Clostridioides difficile nimB	3007671	protein homolog model	CARD	1	100.0	no data	no data	Clostridioides difficile	12.0	0.0	12.0	29.27	137.0	62.33	0	0	0	0				468	nitroimidazole reductase	nitroimidazole antibiotic	antibiotic inactivation	ERR1713337
RSA1-1	3004444	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	5.0	0.0	5.0	35.78	307.0	195.6	0	0	0	0				858	RSA beta-lactamase	carbapenem; cephalosporin	antibiotic inactivation	ERR1713337
RATA-1	3007801	protein homolog model	CARD	1	100.0	no data	no data	Riemerella anatipestifer	16.0	0.0	16.0	66.99	613.0	114.19	0	0	0	0				915	RATA beta-lactamase	carbapenem	antibiotic inactivation	ERR1713337
MdtQ	3007682	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	46.0	0.0	46.0	100.0	1440.0	170.7	0	0	0	0				1440	Outer Membrane Porin (Opr)	monobactam; carbapenem; cephalosporin; penicillin beta-lactam	reduced permeability to antibiotic	ERR1713337
RATA-2	3007802	protein homolog model	CARD	1	100.0	no data	no data	Riemerella anatipestifer	12.0	0.0	12.0	44.59	408.0	60.08	0	0	0	0				915	RATA beta-lactamase	carbapenem	antibiotic inactivation	ERR1713337
CARB-58	3007837	protein homolog model	CARD	1	100.0	no data	no data	Salmonella enterica	36.0	0.0	36.0	65.15	645.0	150.56	0	0	0	0				990	CARB beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713337
ACT-119	3007901	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	3.0	0.0	3.0	17.45	200.0	93.33	0	0	0	0				1146	ACT beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713337
ACT-143	3007911	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter sp.	2.0	0.0	2.0	25.57	293.0	199.5	0	0	0	0				1146	ACT beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713337
ACT-146	3007914	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter bugandensis	1.0	0.0	1.0	13.18	151.0	201.0	0	0	0	0				1146	ACT beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713337
ACT-165	3007928	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter bugandensis	1.0	0.0	1.0	13.18	151.0	199.0	0	0	0	0				1146	ACT beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713337
ADC-277	3007993	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	5.0	0.0	5.0	9.83	115.0	130.2	0	0	0	0				1170	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	ERR1713337
ASU1-1	3008074	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	3.0	0.0	3.0	22.71	218.0	77.33	0	0	0	0				960	ASU1 beta-lactamase	cephalosporin	antibiotic inactivation	ERR1713337
AXC-6	3008075	protein homolog model	CARD	1	100.0	no data	no data	Achromobacter ruhlandii	13.0	0.0	13.0	7.58	68.0	58.85	0	0	0	0				897	AXC beta-lactamase	carbapenem	antibiotic inactivation	ERR1713337
CAM-2	3008083	protein homolog model	CARD	1	100.0	no data	no data	Pyrinomonadaceae	3.0	0.0	3.0	27.53	204.0	81.67	0	0	0	0				741	CAM beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713337
CME-3	3008084	protein homolog model	CARD	1	100.0	no data	no data	Elizabethkingia anophelis	25.0	0.0	25.0	50.78	457.0	77.16	0	0	0	0				900	CME beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713337
BOR-1	3008082	protein homolog model	CARD	1	100.0	no data	no data	Bordetella bronchiseptica	11.0	0.0	11.0	54.79	503.0	68.0	0	0	0	0				918	BOR beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713337
CTX-M-277	3008166	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	2.0	0.0	2.0	17.35	152.0	110.0	0	0	0	0				876	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	ERR1713337
FONA-10	3008173	protein homolog model	CARD	1	100.0	no data	no data	Serratia fonticola	1.0	0.0	1.0	2.14	19.0	34.0	0	0	0	0				888	FONA beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713337
HBL-1	3008199	protein homolog model	CARD	1	100.0	no data	no data	Bordetella hinzii	22.0	0.0	22.0	45.9	420.0	77.09	0	0	0	0				915	HBL beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713337
IMI-27	3008214	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	2.0	0.0	2.0	6.48	57.0	45.0	0	0	0	0				879	IMI beta-lactamase	carbapenem	antibiotic inactivation	ERR1713337
KLUG-1	3008230	protein homolog model	CARD	1	100.0	no data	no data	Kluyvera georgiana	2.0	0.0	2.0	32.76	287.0	201.0	0	0	0	0				876	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	ERR1713337
MIR-27	3008375	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter roggenkampii	2.0	0.0	2.0	22.08	253.0	192.0	0	0	0	0				1146	MIR beta-lactamase	monobactam; cephalosporin	antibiotic inactivation	ERR1713337
KPC-164	3008290	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	5.0	0.0	5.0	36.03	321.0	130.4	0	0	0	0				891	KPC beta-lactamase	monobactam; carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713337
MIR-35	3008382	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter roggenkampii	2.0	0.0	2.0	24.61	282.0	200.0	0	0	0	0				1146	MIR beta-lactamase	monobactam; cephalosporin	antibiotic inactivation	ERR1713337
MOX-17	3008385	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas caviae	1.0	0.0	1.0	13.28	151.0	201.0	0	0	0	0				1137	MOX beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713337
MOX-15	3008383	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas caviae	2.0	0.0	2.0	25.69	296.0	200.5	0	0	0	0				1152	MOX beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713337
MUN-6	3008395	protein homolog model	CARD	1	100.0	no data	no data	Parabacteroides distasonis	4.0	0.0	4.0	33.99	309.0	173.5	0	0	0	0				909	MUN beta-lactamase	cephalosporin	antibiotic inactivation	ERR1713337
OXA-1004	3008425	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter courvalinii	2.0	0.0	2.0	4.18	35.0	61.5	0	0	0	0				837	OXA beta-lactamase; OXA-294-like beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713337
OXA-1005	3008426	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter schindleri	2.0	0.0	2.0	8.3	69.0	45.0	0	0	0	0				831	OXA beta-lactamase; OXA-134-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1713337
OXA-1035	3008456	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	1.0	0.0	1.0	3.04	24.0	67.0	0	0	0	0				789	OXA beta-lactamase; OXA-50-like beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713337
OXA-1085	3008503	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	129.0	0.0	129.0	98.65	805.0	172.06	0	0	0	0				816	OXA beta-lactamase; OXA-2-like beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713337
OXA-1101	3008519	protein homolog model	CARD	1	100.0	no data	no data	Brachyspira pilosicoli	29.0	0.0	29.0	24.57	199.0	54.9	0	0	0	0				810	OXA beta-lactamase; OXA-63-like beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713337
OXA-1103	3008521	protein homolog model	CARD	1	100.0	no data	no data	Brachyspira pulli	11.0	0.0	11.0	15.8	128.0	62.18	0	0	0	0				810	OXA beta-lactamase; OXA-63-like beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713337
OXA-1108	3008526	protein homolog model	CARD	1	100.0	no data	no data	Aliarcobacter butzleri	42.0	0.0	42.0	66.93	510.0	154.95	0	0	0	0				762	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713337
OXA-1056	3008474	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	19.0	0.0	19.0	81.98	637.0	136.32	0	0	0	0				777	OXA beta-lactamase; OXA-198-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1713337
OXA-1122	3008540	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	19.0	0.0	19.0	15.92	128.0	68.95	0	0	0	0				804	OXA beta-lactamase; OXA-51-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1713337
OXA-1173	3008591	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	1.0	0.0	1.0	2.05	17.0	23.0	0	0	0	0				828	OXA beta-lactamase; OXA-2-like beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713337
OXA-1177	3008595	protein homolog model	CARD	1	100.0	no data	no data	Ralstonia mannitolilytica	21.0	0.0	21.0	21.74	180.0	67.95	0	0	0	0				828	OXA beta-lactamase; OXA-22-like beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713337
OXA-1175	3008593	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	55.0	0.0	55.0	100.0	828.0	192.73	0	0	0	0				828	OXA beta-lactamase; OXA-10-like beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713337
OXA-1189	3008605	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter sp.	3.0	0.0	3.0	3.89	32.0	57.33	0	0	0	0				822	OXA beta-lactamase; OXA-213-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1713337
OXA-1182	3008598	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	11.0	0.0	11.0	11.11	92.0	55.36	0	0	0	0				828	OXA beta-lactamase; OXA-143-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1713337
OXA-956	3008733	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas salmonicida	4.0	0.0	4.0	15.85	126.0	51.25	0	0	0	0				795	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713337
OXA-960	3008737	protein homolog model	CARD	1	100.0	no data	no data	Shewanella chilikensis	4.0	0.0	4.0	5.86	51.0	53.25	0	0	0	0				870	OXA beta-lactamase; OXA-55-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1713337
OXA-964	3008741	protein homolog model	CARD	1	100.0	no data	no data	Shewanella algae	2.0	0.0	2.0	3.22	28.0	34.5	0	0	0	0				870	OXA beta-lactamase; OXA-55-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1713337
OXA-994	3008771	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter vivianii	9.0	0.0	9.0	8.84	74.0	54.78	0	0	0	0				837	OXA beta-lactamase; OXA-294-like beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713337
PEN-A10	3008988	protein homolog model	CARD	1	100.0	no data	no data	Burkholderia multivorans	2.0	0.0	2.0	4.4	40.0	45.0	0	0	0	0				909	PEN-A beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713337
PEN-A18	3008995	protein homolog model	CARD	1	100.0	no data	no data	Burkholderia multivorans	5.0	0.0	5.0	6.05	55.0	74.8	0	0	0	0				909	PEN-A beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713337
PEN-B1	3009023	protein homolog model	CARD	1	100.0	no data	no data	Burkholderia cenocepacia	14.0	0.0	14.0	55.27	519.0	88.64	0	0	0	0				939	PEN-B beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713337
RAA-1	3009035	protein homolog model	CARD	1	100.0	no data	no data	Riemerella anatipestifer	11.0	0.0	11.0	22.34	195.0	70.91	0	0	0	0				873	RAA beta-lactamase	cephalosporin	antibiotic inactivation	ERR1713337
SFDC-1	3009046	protein homolog model	CARD	1	100.0	no data	no data	Serratia fonticola	1.0	0.0	1.0	7.83	90.0	169.0	0	0	0	0				1149	SFDC beta-lactamase	cephalosporin	antibiotic inactivation	ERR1713337
SHV-231	3009050	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	2.0	0.0	2.0	34.84	300.0	199.5	0	0	0	0				861	SHV beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713337
VEB-32	3009084	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas veronii	5.0	0.0	5.0	21.44	193.0	177.2	0	0	0	0				900	VEB beta-lactamase	monobactam; cephalosporin	antibiotic inactivation	ERR1713337
SRT-4	3009065	protein homolog model	CARD	1	100.0	no data	no data	Serratia marcescens	1.0	0.0	1.0	2.02	23.0	34.0	0	0	0	0				1137	SRT beta-lactamase	cephalosporin	antibiotic inactivation	ERR1713337
AAC(3)-Ib/AAC(6')-Ib3 bifunctional protein	3002600	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	1.0	0.0	1.0	15.02	151.0	174.0	0	0	0	0				1005	aminoglycoside bifunctional resistance protein	aminoglycoside antibiotic	antibiotic inactivation	ERR1713337
LRA-12	3002511	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	1.0	0.0	1.0	2.61	23.0	45.0	0	0	0	0				882	subclass B3 LRA beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713339
dfrF	3002867	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecalis	11.0	0.0	11.0	95.35	472.0	178.82	0	0	0	0				495	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement	ERR1713339
OXA-212	3001711	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter johnsonii	2.0	0.0	2.0	36.61	302.0	195.0	0	0	0	0				825	OXA beta-lactamase; OXA-211-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1713339
msrE	3003109	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	206.0	0.0	206.0	100.0	1476.0	194.56	0	0	0	0				1476	msr-type ABC-F protein	macrolide antibiotic; streptogramin antibiotic	antibiotic target protection	ERR1713339
FosA2	3002804	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	2.0	0.0	2.0	27.0	115.0	147.0	0	0	0	0				426	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation	ERR1713339
AAC(3)-Ia	3002528	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	1.0	0.0	1.0	3.87	18.0	34.0	0	0	0	0				465	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	ERR1713339
gadX	3000508	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	6.0	0.0	6.0	65.7	542.0	176.33	0	0	0	0				825	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penicillin beta-lactam	antibiotic efflux	ERR1713339
mdtP	3003550	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	4.0	0.0	4.0	28.63	420.0	193.0	0	0	0	0				1467	major facilitator superfamily (MFS) antibiotic efflux pump	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux	ERR1713339
arr-8	3002853	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella oxytoca	1.0	0.0	1.0	5.74	26.0	56.0	0	0	0	0				453	rifampin ADP-ribosyltransferase (Arr)	rifamycin antibiotic	antibiotic inactivation	ERR1713339
mdtF	3000796	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	18.0	0.0	18.0	56.52	1760.0	185.72	0	0	0	0				3114	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penicillin beta-lactam	antibiotic efflux	ERR1713339
adeF	3000777	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	4.0	0.0	4.0	13.49	429.0	136.25	0	0	0	0				3180	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	ERR1713339
aadA12	3002612	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	1.0	0.0	1.0	15.28	121.0	155.0	0	0	0	0				792	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	ERR1713339
cpxA	3000830	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	13.0	0.0	13.0	64.99	893.0	160.38	0	0	0	0				1374	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	ERR1713339
tet(E)	3000173	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	2.0	0.0	2.0	16.58	202.0	196.0	0	0	0	0				1218	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	ERR1713339
vgaALC	3002830	protein homolog model	CARD	1	100.0	no data	no data	Staphylococcus haemolyticus	1.0	0.0	1.0	1.72	27.0	46.0	0	0	0	0				1569	vga-type ABC-F protein	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic	antibiotic target protection	ERR1713339
IMP-33	3002224	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	1.0	0.0	1.0	4.72	35.0	46.0	0	0	0	0				741	IMP beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713339
adeS	3000549	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	2.0	0.0	2.0	23.94	260.0	185.0	0	0	0	0				1086	resistance-nodulation-cell division (RND) antibiotic efflux pump	glycylcycline; tetracycline antibiotic	antibiotic efflux	ERR1713339
cmlA5	3002695	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	2.0	0.0	2.0	21.43	270.0	198.0	0	0	0	0				1260	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux	ERR1713339
